id,from,at,to,open,close,min,max,volume,SMA20,EMA50,RSI,MACD,MACD_Signal,Bollinger_High,Bollinger_Low
210817500,1721746358,1721746359000000000,1721746359,1.087535,1.087535,1.087535,1.087535,0,1.0875445,1.0875869223545853,36.103387986778976,-1.937266814300287e-05,-2.211726721059051e-05,1.0875821696164056,1.0875068303835942
210817501,1721746359,1721746360000000000,1721746360,1.087535,1.087535,1.087535,1.087535,0,1.0875415,1.0875848861838173,36.103387986778976,-1.8398781069572934e-05,-2.1373569982386996e-05,1.0875713496231159,1.087511650376884
210817502,1721746360,1721746361000000000,1721746361,1.087515,1.087515,1.087515,1.087515,0,1.0875380000000001,1.0875821455491579,29.456070930512254,-1.902153300847864e-05,-2.0903162587605325e-05,1.0875625764114585,1.0875134235885417
210817503,1721746361,1721746362000000000,1721746362,1.087515,1.087515,1.087515,1.087515,0,1.0875355,1.0875795123903673,29.456070930512254,-1.929267446465488e-05,-2.0581064963015238e-05,1.0875587163735363,1.0875122836264637
210817504,1721746362,1721746363000000000,1721746363,1.087515,1.087515,1.087515,1.087515,0,1.0875340000000002,1.087576982492706,29.456070930512254,-1.928524769145845e-05,-2.032190150870388e-05,1.0875584131112355,1.087509586888765
210817505,1721746363,1721746364000000000,1721746364,1.087515,1.087515,1.087515,1.087515,0,1.087532,1.0875745518067175,29.456070930512254,-1.9059654092101752e-05,-2.0069452025383453e-05,1.087555748684178,1.0875082513158219
210817506,1721746364,1721746365000000000,1721746365,1.087525,1.087525,1.087525,1.087525,0,1.087531,1.0875726085986108,37.22870563030967,-1.7867982136987592e-05,-1.9629158047704282e-05,1.0875541516738099,1.0875078483261902
210817507,1721746365,1721746366000000000,1721746366,1.087465,1.087465,1.087465,1.087465,0,1.087527,1.0875683886535672,21.74647742879654,-2.151703707653496e-05,-2.0006733853470418e-05,1.0875631109401733,1.0874908890598265
210817508,1721746366,1721746367000000000,1721746367,1.087455,1.087455,1.087455,1.087455,0,1.0875235,1.0875639420397016,20.236001969882267,-2.492849565238764e-05,-2.099108621325386e-05,1.0875713643917775,1.0874756356082227
210817509,1721746367,1721746368000000000,1721746368,1.087455,1.087455,1.087455,1.087455,0,1.08752,1.0875596698028507,20.236001969882267,-2.7317205412380474e-05,-2.2256310053079184e-05,1.0875763914887215,1.0874636085112785
210817510,1721746368,1721746369000000000,1721746369,1.087465,1.087465,1.087465,1.087465,0,1.087517,1.0875559572615623,26.182400849164708,-2.8079673680903028e-05,-2.3420982778643953e-05,1.087578188234165,1.087455811765835
210817511,1721746369,1721746370000000000,1721746370,1.087495,1.087495,1.087495,1.087495,0,1.0875155,1.0875535667807168,40.510627689794546,-2.5963890430524827e-05,-2.392956430902013e-05,1.087577298058224,1.0874537019417763
210817512,1721746370,1721746371000000000,1721746371,1.087485,1.087485,1.087485,1.087485,0,1.087513,1.0875508778873553,37.87179502611736,-2.480806149729453e-05,-2.4105263746675013e-05,1.087575481997409,1.0874505180025908
210817513,1721746371,1721746372000000000,1721746372,1.087495,1.087495,1.087495,1.087495,0,1.08751,1.0875486865976551,41.94439467784804,-2.2822063769023515e-05,-2.3848623751144715e-05,1.0875698331012085,1.0874501668987915
210817514,1721746372,1721746373000000000,1721746373,1.087495,1.087495,1.087495,1.087495,0,1.0875074999999998,1.0875465812408844,41.94439467784804,-2.1006002144163816e-05,-2.3280099429748537e-05,1.087565422361832,1.0874495776381676
210817515,1721746373,1721746374000000000,1721746374,1.087505,1.087505,1.087505,1.087505,0,1.0875055,1.087544950603987,46.046193627257516,-1.8546056402168887e-05,-2.2333290824232607e-05,1.0875608082272383,1.0874501917727617
210817516,1721746374,1721746375000000000,1721746375,1.087495,1.087495,1.087495,1.087495,0,1.087503,1.0875429917567718,42.790369536515534,-1.720511821212689e-05,-2.1307656301811465e-05,1.0875553832034173,1.087450616796583
210817517,1721746375,1721746376000000000,1721746376,1.087495,1.087495,1.087495,1.087495,0,1.0875015,1.0875411097270944,42.790369536515534,-1.5958455889864e-05,-2.0237816219421972e-05,1.0875529878626495,1.0874500121373503
210817518,1721746376,1721746377000000000,1721746377,1.087535,1.087535,1.087535,1.087535,0,1.0875015,1.0875408701299534,56.92101541730083,-1.160898021446144e-05,-1.8512049018429867e-05,1.0875529878626495,1.0874500121373503
210817519,1721746377,1721746378000000000,1721746378,1.087535,1.087535,1.087535,1.087535,0,1.0875015,1.0875406399287788,56.92101541730082,-8.068975281050328e-06,-1.642343427095396e-05,1.0875529878626495,1.0874500121373503
210817520,1721746378,1721746379000000000,1721746379,1.087545,1.087545,1.087545,1.087545,0,1.0875020000000002,1.087540810911964,59.79993170485784,-4.4057922103935e-06,-1.4019905858841869e-05,1.087554952809182,1.0874490471908185
210817521,1721746379,1721746380000000000,1721746380,1.087535,1.087535,1.087535,1.087535,0,1.0875020000000002,1.0875405830330636,55.78510747687108,-2.2832893236124363e-06,-1.1672582551795983e-05,1.087554952809182,1.0874490471908185
